y,x,twi,tri,spi,slope,water_distance,profile_curvature,plan_curvature,ndvi_2019,hillshade,geologia,dusaf,aspect,dtm_milan,geo_0,geo_1,geo_2,geo_3,geo_4,geo_5,geo_6,lc_11,lc_12,lc_14,lc_21,lc_22,lc_23,lc_31,lc_32,lc_33,lc_41,lc_51,flooded
5037187.5,515077.5,12.3198805,2.0717592,7.745669,5.8027854,379.01187,1.2581286,-4.613911,0.12697877,177.0,1,12,53.744614,122.795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037027.5,515047.5,6.534946,13.580738,-10.224014,2.078649,302.20026,4.299469,-41.496582,0.108370915,184.0,1,12,256.21204,118.238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039172.5,515437.5,7.3917127,0.70791274,0.8376299,2.6466408,169.18924,1.002438,0.4783291,0.2857143,173.0,1,12,104.63074,130.456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037357.5,514722.5,8.454565,0.4518582,0.9787401,1.5246115,762.16797,1.587939,-0.04801678,0.15593563,183.0,1,11,8.097588,124.383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5040107.5,515467.5,8.578063,0.7369746,0.8552427,1.3475577,246.22145,-0.100133665,-1.0561273,0.5989998,179.0,1,12,63.212227,133.431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5038517.5,514942.5,7.757744,0.1912132,-11.446812,0.61221063,612.71936,0.018589927,0.3025865,0.23822781,182.0,1,11,300.04324,128.267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039352.5,515887.5,6.6085753,1.1579677,-10.297644,1.9312141,548.9308,-1.6811672,2.3949437,0.12064615,176.0,1,11,177.06625,130.337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039272.5,515732.5,18.42796,0.36308867,9.088065,0.5370621,389.16577,1.5205765,-0.43932346,0.11360693,180.0,1,11,78.93517,129.182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039217.5,514917.5,7.491467,0.5807306,-0.36071658,1.5976346,275.0,1.466915,-0.7771646,0.23301807,185.0,1,12,295.14206,130.392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037342.5,514877.5,8.564403,0.20174222,-1.4336522,0.54652095,632.0008,0.56647277,-0.39345768,0.1909831,181.0,1,11,13.487175,124.717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039767.5,515522.5,7.213164,0.64429307,-10.902231,1.0553013,193.0026,-0.8847211,-0.6488202,0.3965517,178.0,1,11,98.35429,132.213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039092.5,515172.5,7.7328687,0.21180093,-11.421937,0.6276291,35.0,0.06642504,0.23439379,0.31782946,181.0,1,11,229.25328,130.019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037832.5,515457.5,11.760187,0.37277764,3.3519158,0.8612645,140.89003,1.7334466,-0.5105719,0.21287642,178.0,1,11,172.35597,125.616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037262.5,514752.5,11.9339285,0.13807291,0.81718487,0.22564857,679.3563,0.013333884,-0.37869492,0.13436125,181.0,1,12,236.91331,123.822,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
